ticker,date,year,quarter,dailyreturn,volume,liquidity,
FPT,1/2/2014,2014,1,0.0062,207470,18490000,
FPT,1/3/2014,2014,1,-0.0015,165110,16831003.75,
FPT,1/6/2014,2014,1,0.0154,301670,21398256,
FPT,1/7/2014,2014,1,-0.0106,290990,14178490,
FPT,1/8/2014,2014,1,0.0061,129600,27062070,
FPT,1/9/2014,2014,1,0.0122,317250,9432000,
FPT,1/10/2014,2014,1,0.0060,704840,21033675,
FPT,1/13/2014,2014,1,0.0090,773230,33580591.43,
FPT,1/14/2014,2014,1,0.0015,757320,52038379,
FPT,1/15/2014,2014,1,0.0163,1440070,39264129.23,
FPT,1/16/2014,2014,1,0.0102,915150,36535109.26,
FPT,1/17/2014,2014,1,0.0188,1192920,45234557.14,
FPT,1/20/2014,2014,1,0.0099,883960,31148466.67,
FPT,1/21/2014,2014,1,0.0197,647850,22477840,
FPT,1/22/2014,2014,1,0.0000,650280,22397100,
FPT,1/23/2014,2014,1,0.0289,476170,16860831.43,
FPT,1/24/2014,2014,1,0.0268,836990,12703535.36,
FPT,1/27/2014,2014,1,-0.0091,613960,18881509.71,
FPT,2/6/2014,2014,1,-0.0171,538550,22219504.76,
FPT,2/7/2014,2014,1,-0.0187,753990,14899883.33,
FPT,2/10/2014,2014,1,0.0368,611330,27633733.5,
FPT,2/11/2014,2014,1,-0.0092,1257350,11331970.73,
FPT,2/12/2014,2014,1,0.0372,978110,35066094.44,
FPT,2/13/2014,2014,1,0.0000,621020,36376376.67,
FPT,2/14/2014,2014,1,-0.0090,540290,23096029.52,
FPT,2/17/2014,2014,1,-0.0090,359620,19913545.71,
FPT,2/18/2014,2014,1,0.0183,505020,13134692.38,
FPT,2/19/2014,2014,1,0.0346,999370,18781934.29,
FPT,2/20/2014,2014,1,-0.0334,1074480,29907072.59,
FPT,2/21/2014,2014,1,0.0166,689100,13534981.94,
FPT,2/24/2014,2014,1,0.0264,979350,13345009.76,
FPT,2/25/2014,2014,1,0.0331,1577680,23475595.59,
FPT,2/26/2014,2014,1,0.0499,2226350,32400160,
FPT,2/27/2014,2014,1,-0.0238,1165490,46859366.67,
FPT,2/28/2014,2014,1,0.0162,1111220,37252513.7,
FPT,3/3/2014,2014,1,-0.0399,1112540,34804997.86,
FPT,3/4/2014,2014,1,-0.0071,962100,22847772.68,
FPT,3/5/2014,2014,1,0.0156,611560,40215780,
FPT,3/6/2014,2014,1,0.0082,706070,25960722,
FPT,3/7/2014,2014,1,0.0082,1032190,28780758.1,
FPT,3/10/2014,2014,1,0.0081,505430,31813570.36,
FPT,3/11/2014,2014,1,0.0552,2154020,31408864.29,
FPT,3/12/2014,2014,1,0.0076,1966080,28657831.3,
FPT,3/13/2014,2014,1,0.0065,906880,53488941.18,
FPT,3/14/2014,2014,1,-0.0064,1435730,64946560,
FPT,3/17/2014,2014,1,0.0000,960750,66402512.5,
FPT,3/18/2014,2014,1,0.0519,2210540,68361057.69,
FPT,3/19/2014,2014,1,0.0134,567100,31630226.76,
FPT,3/20/2014,2014,1,-0.0132,993620,26626695.24,
FPT,3/21/2014,2014,1,0.0062,963090,35807120.74,
FPT,3/24/2014,2014,1,-0.0061,719940,34920930,
FPT,3/25/2014,2014,1,-0.0216,1139950,53884740,
FPT,3/26/2014,2014,1,-0.0221,1658730,40193792.59,
FPT,3/27/2014,2014,1,0.0000,944990,37665308.05,
FPT,3/28/2014,2014,1,0.0376,994670,43989284.5,
FPT,3/31/2014,2014,1,-0.0072,860380,27452892,
FPT,4/1/2014,2014,2,-0.0146,737670,24267777.06,
FPT,4/2/2014,2014,2,-0.0148,1636330,24896362.5,
FPT,4/3/2014,2014,2,0.0075,590550,31737983.96,
FPT,4/4/2014,2014,2,-0.0075,830330,27696795,
FPT,4/7/2014,2014,2,0.0226,1118980,38651861.5,
FPT,4/8/2014,2014,2,0.0147,1878400,38045320,
FPT,4/10/2014,2014,2,-0.0072,912440,90726720,
FPT,4/11/2014,2014,2,0.0073,924700,62502140,
FPT,4/14/2014,2014,2,0.0135,1720820,42536200,
FPT,4/15/2014,2014,2,-0.0133,1217060,62395658.52,
FPT,4/16/2014,2014,2,-0.0217,1456070,43543702.22,
FPT,4/17/2014,2014,2,0.0148,818960,39313890,
