ticker,date,year,quarter,dailyreturn,volume,liquidity
ITD,1/2/2014,2014,1,0.0000,66100,4120892.857
ITD,1/3/2014,2014,1,0.0596,743150,2219071.429
ITD,1/6/2014,2014,1,0.0683,1119880,8811635.714
ITD,1/7/2014,2014,1,0.0489,954780,14185146.67
ITD,1/8/2014,2014,1,0.0143,598180,12684934.29
ITD,1/9/2014,2014,1,0.0601,731470,12091781.43
ITD,1/10/2014,2014,1,0.0000,813710,7837178.571
ITD,1/13/2014,2014,1,-0.0700,1065010,10613608.7
ITD,1/14/2014,2014,1,-0.0251,728660,21224127.86
ITD,1/15/2014,2014,1,-0.0625,1044200,11658560
ITD,1/16/2014,2014,1,0.0157,457840,15663000
ITD,1/17/2014,2014,1,-0.0656,817030,11858056
ITD,1/20/2014,2014,1,-0.0413,314780,9886063
ITD,1/21/2014,2014,1,0.0560,212210,3042873.333
ITD,1/22/2014,2014,1,0.0000,161940,3058320.588
ITD,1/23/2014,2014,1,-0.0286,115530,2833950
ITD,1/24/2014,2014,1,0.0000,121640,3928020
ITD,1/27/2014,2014,1,0.0294,46860,2226947.692
ITD,2/6/2014,2014,1,-0.0122,91130,1148070
ITD,2/7/2014,2014,1,0.0000,185590,2004860
ITD,2/10/2014,2014,1,0.0289,286690,4082980
ITD,2/11/2014,2014,1,-0.0281,458460,6489619.091
ITD,2/12/2014,2014,1,0.0000,259950,11094732
ITD,2/13/2014,2014,1,0.0537,1373310,8986842.857
ITD,2/14/2014,2014,1,0.0157,804520,35019405
ITD,2/17/2014,2014,1,0.0116,740650,12257098.82
ITD,2/18/2014,2014,1,-0.0382,1126750,27721471.43
ITD,2/19/2014,2014,1,0.0397,901420,28394100
ITD,2/20/2014,2014,1,-0.0496,852070,13892472.94
ITD,2/21/2014,2014,1,0.0000,363550,12480319.41
ITD,2/24/2014,2014,1,0.0120,466400,8229450
ITD,2/25/2014,2014,1,-0.0119,516620,11753280
ITD,2/26/2014,2014,1,0.0120,381470,42879460
ITD,2/27/2014,2014,1,-0.0119,597950,13732920
ITD,2/28/2014,2014,1,0.0000,424530,14888955
ITD,3/3/2014,2014,1,-0.0442,611480,15101138.57
ITD,3/4/2014,2014,1,0.0000,296720,13230203.64
ITD,3/5/2014,2014,1,0.0588,511930,11769893.33
ITD,3/6/2014,2014,1,0.0119,480620,9214740
ITD,3/7/2014,2014,1,0.0000,559660,20426350
ITD,3/10/2014,2014,1,0.0667,1599810,20387614.29
ITD,3/11/2014,2014,1,0.0147,895650,25596960
ITD,3/12/2014,2014,1,-0.0254,797080,19015338.46
ITD,3/13/2014,2014,1,-0.0260,644980,21441452
ITD,3/14/2014,2014,1,0.0382,600910,16898476
ITD,3/17/2014,2014,1,0.0000,605240,11674822.86
ITD,3/18/2014,2014,1,-0.0110,548680,23517897.14
ITD,3/19/2014,2014,1,0.0112,661140,24599153.33
ITD,3/20/2014,2014,1,0.0000,481410,29971680
ITD,3/21/2014,2014,1,0.0404,587600,13094352
ITD,3/24/2014,2014,1,0.0353,472960,9781811.765
ITD,3/25/2014,2014,1,-0.0478,728480,13857728
ITD,3/26/2014,2014,1,-0.0466,632030,14517565.71
ITD,3/27/2014,2014,1,0.0000,202730,8005713.333
ITD,3/28/2014,2014,1,0.0113,134660,3851870
ITD,3/31/2014,2014,1,-0.0112,117970,5174791.429
ITD,4/1/2014,2014,2,-0.0526,245540,3138002
ITD,4/2/2014,2014,2,-0.0397,324920,6187608
ITD,4/3/2014,2014,2,0.0537,150900,4625331.765
ITD,4/4/2014,2014,2,-0.0118,39760,3847950
ITD,4/7/2014,2014,2,0.0000,59900,1001952
ITD,4/8/2014,2014,2,0.0000,133290,1161138.462
ITD,4/10/2014,2014,2,0.0000,93780,3358908
ITD,4/11/2014,2014,2,0.0000,80850,3938760
ITD,4/14/2014,2014,2,-0.0119,236100,2037420
ITD,4/15/2014,2014,2,-0.0562,172300,5344445.455
ITD,4/16/2014,2014,2,0.0000,215970,2892178.571
ITD,4/17/2014,2014,2,0.0298,95370,7250421.429
ITD,4/18/2014,2014,2,-0.0413,87150,2307954
ITD,4/21/2014,2014,2,0.0000,99190,1444200
ITD,4/22/2014,2014,2,0.0259,100240,5753020
ITD,4/23/2014,2014,2,-0.0252,23790,2385712
ITD,4/24/2014,2014,2,0.0129,61050,919880
ITD,4/25/2014,2014,2,0.0000,12320,4782250
ITD,4/28/2014,2014,2,0.0000,61780,482533.3333
ITD,4/29/2014,2014,2,0.0000,50070,2074042.857
ITD,5/5/2014,2014,2,-0.0596,164040,1680921.429
ITD,5/6/2014,2014,2,-0.0271,138040,3295712.727
ITD,5/7/2014,2014,2,0.0000,46160,2282969.231
ITD,5/8/2014,2014,2,-0.0651,298190,708885.7143
ITD,5/9/2014,2014,2,0.0348,191830,5993619
ITD,5/12/2014,2014,2,-0.0673,110230,3990064
ITD,5/13/2014,2014,2,-0.0515,135520,1527472.857
ITD,5/14/2014,2014,2,0.0380,122800,1781120
ITD,5/15/2014,2014,2,-0.0524,83280,3350685.714
ITD,5/16/2014,2014,2,0.0552,26240,886687.0588
ITD,5/19/2014,2014,2,0.0157,95720,715977.1429
ITD,5/20/2014,2014,2,0.0515,114830,2652811.429
ITD,5/21/2014,2014,2,0.0539,103830,1801947.692
ITD,5/22/2014,2014,2,-0.0186,154890,1313144.118
ITD,5/23/2014,2014,2,0.0190,73530,3268179
ITD,5/26/2014,2014,2,0.0605,150920,2634825
ITD,5/27/2014,2014,2,0.0175,90200,2646904.615
ITD,5/28/2014,2014,2,0.0000,79040,1494742.857
ITD,5/29/2014,2014,2,-0.0172,181700,4584320
ITD,5/30/2014,2014,2,0.0000,46410,5918228.571
ITD,6/2/2014,2014,2,-0.0439,101810,3527160
ITD,6/3/2014,2014,2,0.0321,67090,2219458
ITD,6/4/2014,2014,2,-0.0311,194720,2156464.286
ITD,6/5/2014,2014,2,0.0321,20360,14149653.33
ITD,6/6/2014,2014,2,0.0133,10940,1145250
ITD,6/9/2014,2014,2,-0.0132,38220,356331.4286
ITD,6/10/2014,2014,2,0.0000,80270,781772.7273
ITD,6/11/2014,2014,2,0.0133,31910,2580107.143
ITD,6/12/2014,2014,2,-0.0132,25250,727548
ITD,6/13/2014,2014,2,0.0133,35450,811607.1429
ITD,6/16/2014,2014,2,-0.0132,31190,1154657.143
ITD,6/17/2014,2014,2,0.0133,37290,1754437.5
ITD,6/18/2014,2014,2,0.0307,121290,1214588.571
ITD,6/19/2014,2014,2,-0.0128,62210,2192550
ITD,6/20/2014,2014,2,0.0129,92910,1443272
ITD,6/23/2014,2014,2,-0.0128,29150,3119121.429
ITD,6/24/2014,2014,2,0.0129,67230,1127133.333
ITD,6/25/2014,2014,2,0.0000,130780,2257007.143
ITD,6/26/2014,2014,2,0.0000,39860,3073330
ITD,6/27/2014,2014,2,-0.0128,13820,3122366.667
ITD,6/30/2014,2014,2,0.0000,40490,1068746.667
ITD,7/1/2014,2014,3,0.0129,38750,1565613.333
ITD,7/2/2014,2014,3,0.0000,155190,3035416.667
ITD,7/3/2014,2014,3,0.0128,291940,6078275
ITD,7/4/2014,2014,3,0.0588,1414760,9925960
ITD,7/7/2014,2014,3,0.0000,76220,25465680
ITD,7/8/2014,2014,3,-0.0119,161310,1920744
ITD,7/9/2014,2014,3,-0.0281,172370,4016619
ITD,7/10/2014,2014,3,0.0124,493790,5959077.143
ITD,7/11/2014,2014,3,0.0000,178950,12097855
ITD,7/14/2014,2014,3,0.0000,48440,3131625
ITD,7/15/2014,2014,3,-0.0122,292630,3955933.333
ITD,7/16/2014,2014,3,0.0000,118210,10116637.14
ITD,7/17/2014,2014,3,-0.0165,157780,4086688.571
ITD,7/18/2014,2014,3,-0.0126,224270,5364520
ITD,7/21/2014,2014,3,-0.0128,132440,17567816.67
ITD,7/22/2014,2014,3,0.0000,108060,2363544.615
ITD,7/23/2014,2014,3,0.0129,52200,8356640
ITD,7/24/2014,2014,3,-0.0128,18730,4089000
ITD,7/25/2014,2014,3,-0.0172,166890,724226.6667
ITD,7/28/2014,2014,3,-0.0439,175890,3805092
ITD,7/29/2014,2014,3,0.0138,4620,2738858.571
ITD,7/30/2014,2014,3,0.0000,5990,340340
ITD,7/31/2014,2014,3,0.0181,39390,189112.8571
ITD,8/1/2014,2014,3,0.0311,64970,1266107.143
ITD,8/4/2014,2014,3,0.0431,263850,2153291.429
ITD,8/5/2014,2014,3,0.0000,168390,4911669.231
ITD,8/6/2014,2014,3,0.0000,101830,13583460
ITD,8/7/2014,2014,3,0.0537,413840,8214286.667
ITD,8/8/2014,2014,3,0.0157,239320,8117630.769
ITD,8/11/2014,2014,3,0.0000,150760,8854840
ITD,8/12/2014,2014,3,0.0116,280850,2789060
ITD,8/13/2014,2014,3,-0.0267,193040,10511814.29
ITD,8/14/2014,2014,3,0.0000,93090,4922520
ITD,8/15/2014,2014,3,-0.0510,327830,3391135.714
ITD,8/18/2014,2014,3,0.0000,184770,7212260
ITD,8/19/2014,2014,3,0.0537,117000,6387762.857
ITD,8/20/2014,2014,3,0.0000,148510,2295000
ITD,8/21/2014,2014,3,0.0000,69990,3787005
ITD,8/22/2014,2014,3,0.0000,336100,2549635.714
ITD,8/25/2014,2014,3,0.0667,423100,5041500
ITD,8/26/2014,2014,3,0.0147,76610,8852553.846
ITD,8/27/2014,2014,3,0.0000,171600,3020622.857
ITD,8/28/2014,2014,3,0.0000,85070,6765942.857
ITD,8/29/2014,2014,3,0.0000,64680,2347932
ITD,9/3/2014,2014,3,0.0000,143990,2550240
ITD,9/4/2014,2014,3,0.0000,68500,9935310
ITD,9/5/2014,2014,3,0.0000,41470,2700857.143
ITD,9/8/2014,2014,3,0.0000,76880,2861430
ITD,9/9/2014,2014,3,-0.0145,186010,5304720
ITD,9/10/2014,2014,3,0.0147,53980,5059472
ITD,9/11/2014,2014,3,0.0000,135100,2128354.286
ITD,9/12/2014,2014,3,-0.0254,82550,5326800
ITD,9/15/2014,2014,3,0.0112,355140,3172278.571
ITD,9/16/2014,2014,3,0.0662,248430,7430621.538
ITD,9/17/2014,2014,3,0.0586,562000,5146050
ITD,9/18/2014,2014,3,0.0000,197920,12323857.14
ITD,9/19/2014,2014,3,-0.0130,124670,6076144
ITD,9/22/2014,2014,3,0.0132,141680,2222059.412
ITD,9/23/2014,2014,3,0.0651,501100,4349576
ITD,9/24/2014,2014,3,0.0428,245200,8192985
ITD,9/25/2014,2014,3,0.0674,284850,5972371.429
ITD,9/26/2014,2014,3,0.0659,344980,4508060.87
ITD,9/29/2014,2014,3,-0.0515,138200,10296326.15
ITD,9/30/2014,2014,3,0.0652,346040,2542880
ITD,10/1/2014,2014,4,0.0179,87490,5651986.667
ITD,10/2/2014,2014,4,-0.0276,161680,1454521.25
ITD,10/3/2014,2014,4,-0.0077,199640,2323401.481
ITD,10/6/2014,2014,4,-0.0260,297690,1708031.111
ITD,10/7/2014,2014,4,0.0160,284720,4651406.25
ITD,10/8/2014,2014,4,-0.0446,135570,4519930
ITD,10/9/2014,2014,4,0.0659,519500,2145542.609
ITD,10/10/2014,2014,4,0.0103,210120,15505076.92
ITD,10/13/2014,2014,4,-0.0102,103240,3431960
ITD,10/14/2014,2014,4,-0.0619,299400,2356301.176
ITD,10/15/2014,2014,4,0.0302,87960,4540900
ITD,10/16/2014,2014,4,-0.0640,260750,1064032.258
