firm,time,open,high,low,close,dailyreturn,volume,Liquidity,yearReport,lengthReport,TOTALASSETS,LIABILITIES,Currentliabilities,Cashandcashequivalents,Revenue,PAT,SIZE,LEV,ROA,CASHRATIO,RevenueYoY,vnopen,vnhigh,vnlow,vnclose,vnvolume,vngrowth
CMG,2024-02-26 00:00:00.000000 UTC,39.9,40.2,39.5,40.0,0.0025,102410,7165330.667,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1213.65,1225.21,1210.52,1224.17,889748773,0.01
CMG,2024-02-23 00:00:00.000000 UTC,40.05,40.2,39.75,39.9,-0.005,80812,6486486.889,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1228.21,1240.81,1211.55,1212.0,1394045720,-0.0125
CMG,2024-02-22 00:00:00.000000 UTC,40.2,40.2,39.75,40.1,-0.0025,72791,7191619.2,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1230.65,1232.09,1226.15,1227.31,840410190,-0.0022
CMG,2024-02-21 00:00:00.000000 UTC,40.5,40.5,40.0,40.2,-0.0062,89448,23604655.29,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1231.5,1234.22,1222.92,1230.04,988846280,0.0
CMG,2024-02-20 00:00:00.000000 UTC,40.35,40.45,40.1,40.45,-0.0012,204243,4726140.968,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1228.08,1230.47,1222.66,1230.06,939947595,0.0042
CMG,2024-02-19 00:00:00.000000 UTC,40.5,40.6,39.05,40.5,0.0012,180877,9011598.091,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1213.38,1225.48,1212.58,1224.97,1046431380,0.0126
CMG,2024-02-16 00:00:00.000000 UTC,40.5,40.6,40.05,40.45,-0.0061,122531,6151921.286,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1205.3,1210.25,1204.29,1209.7,822636730,0.006
CMG,2024-02-15 00:00:00.000000 UTC,40.5,40.7,40.0,40.7,-0.0012,105807,3611372.237,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1203.08,1207.56,1198.81,1202.5,868724308,0.0033
CMG,2024-02-07 00:00:00.000000 UTC,40.9,40.95,39.05,40.75,-0.0049,168383,8701245.0,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1190.68,1199.52,1190.5,1198.53,685659517,0.0085
CMG,2024-02-06 00:00:00.000000 UTC,41.15,41.3,40.65,40.95,-0.0215,138115,3353747.4,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1188.22,1190.92,1185.68,1188.48,619772100,0.002
CMG,2024-02-05 00:00:00.000000 UTC,41.8,41.95,41.2,41.85,-0.0036,60103,3684545.455,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1174.41,1188.45,1173.54,1186.06,874803630,0.0115
CMG,2024-02-02 00:00:00.000000 UTC,40.9,42.0,40.35,42.0,0.0269,144750,2614823.105,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1174.25,1178.27,1169.7,1172.55,914673342,-0.0004
CMG,2024-02-01 00:00:00.000000 UTC,39.3,41.2,39.3,40.9,0.0251,121471,6433848.4,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1162.6,1174.5,1162.45,1173.02,670246274,0.0075
CMG,2024-01-31 00:00:00.000000 UTC,39.2,39.95,39.2,39.9,-0.0025,120937,3214600.0,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1181.81,1182.53,1163.13,1164.31,1120899587,-0.013000000000000001
CMG,2024-01-30 00:00:00.000000 UTC,39.4,40.0,39.2,40.0,0.0063,64292,5195855.0,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1175.97,1179.92,1174.13,1179.65,620146298,0.0034000000000000002
CMG,2024-01-29 00:00:00.000000 UTC,39.9,39.95,39.5,39.75,-0.0038,58821,5147016.0,2024,1,6922260000000.0,3580660000000.0,2732740000000.0,525856000000.0,1649220000000.0,43478543809.0,12.84,0.5173,0.0063,0.1924,-0.1016,1175.67,1180.46,1174.88,1175.69,666529537,0.0
