firm,time,open,high,low,close,dailyreturn,volume,Liquidity,yearReport,lengthReport,TOTALASSETS,LIABILITIES,Currentliabilities,Cashandcashequivalents,Revenue,PAT,SIZE,LEV,ROA,CASHRATIO,RevenueYoY,vnopen,vnhigh,vnlow,vnclose,vnvolume,vngrowth,SentimentLevel,SentimentLevelId,Score,Positive_cnt,Negative_cnt,Neutral_cnt
CMG,2024-09-27 00:00:00.000000 UTC,51.4,51.9,50.8,51.0,-0.0097,457500,29705200.0,2024,3,7696550000000.0,4251330000000.0,3222340000000.0,536522000000.0,2184510000000.0,61050888486.0,12.89,0.5524,0.0079,0.16649999999999998,0.22329999999999997,1295.03,1300.31,1287.21,1290.92,950804402,-0.0004,Trung lập,0,48,0,0,1
CMG,2024-09-27 00:00:00.000000 UTC,51.4,51.9,50.8,51.0,-0.0097,457500,29705200.0,2024,3,7696550000000.0,4251330000000.0,3222340000000.0,536522000000.0,2184510000000.0,61050888486.0,12.89,0.5524,0.0079,0.16649999999999998,0.22329999999999997,1295.03,1300.31,1287.21,1290.92,950804402,-0.0004,Trung lập,0,48,1,0,0
CMG,2024-09-17 00:00:00.000000 UTC,50.2,50.9,50.0,50.9,0.0099,279900,14913360.0,2024,3,7696550000000.0,4251330000000.0,3222340000000.0,536522000000.0,2184510000000.0,61050888486.0,12.89,0.5524,0.0079,0.16649999999999998,0.22329999999999997,1239.99,1258.95,1238.69,1258.95,632194532,0.0159,Sợ hãi,-1,44,0,0,1
CMG,2024-09-12 00:00:00.000000 UTC,51.0,51.1,50.5,50.8,0.0099,231500,19533895.65,2024,3,7696550000000.0,4251330000000.0,3222340000000.0,536522000000.0,2184510000000.0,61050888486.0,12.89,0.5524,0.0079,0.16649999999999998,0.22329999999999997,1253.27,1260.93,1253.27,1256.35,433675900,0.0025,Trung lập,0,45,0,1,0
CMG,2024-08-22 00:00:00.000000 UTC,53.3,55.1,52.9,54.7,0.0399,1602700,38171415.38,2024,3,7696550000000.0,4251330000000.0,3222340000000.0,536522000000.0,2184510000000.0,61050888486.0,12.89,0.5524,0.0079,0.16649999999999998,0.22329999999999997,1284.05,1288.42,1280.42,1282.78,687364524,-0.001,Trung lập,0,46,1,0,0
CMG,2024-08-06 00:00:00.000000 UTC,49.1,50.3,48.4,50.1,0.0298,688100,22333980.6,2024,3,7696550000000.0,4251330000000.0,3222340000000.0,536522000000.0,2184510000000.0,61050888486.0,12.89,0.5524,0.0079,0.16649999999999998,0.22329999999999997,1198.53,1213.35,1186.74,1210.28,688836957,0.0187,Sợ hãi,-1,44,0,1,0
CMG,2024-07-25 00:00:00.000000 UTC,52.6,54.4,52.6,53.4,-0.0202,730510,18422680.42,2024,3,7696550000000.0,4251330000000.0,3222340000000.0,536522000000.0,2184510000000.0,61050888486.0,12.89,0.5524,0.0079,0.16649999999999998,0.22329999999999997,1232.92,1235.67,1226.2,1233.19,484409425,-0.0043,Trung lập,0,50,0,0,1
CMG,2024-07-25 00:00:00.000000 UTC,52.6,54.4,52.6,53.4,-0.0202,730510,18422680.42,2024,3,7696550000000.0,4251330000000.0,3222340000000.0,536522000000.0,2184510000000.0,61050888486.0,12.89,0.5524,0.0079,0.16649999999999998,0.22329999999999997,1232.92,1235.67,1226.2,1233.19,484409425,-0.0043,Trung lập,0,50,1,0,0
CMG,2024-07-25 00:00:00.000000 UTC,52.6,54.4,52.6,53.4,-0.0202,730510,18422680.42,2024,3,7696550000000.0,4251330000000.0,3222340000000.0,536522000000.0,2184510000000.0,61050888486.0,12.89,0.5524,0.0079,0.16649999999999998,0.22329999999999997,1232.92,1235.67,1226.2,1233.19,484409425,-0.0043,Trung lập,0,50,1,0,0
CMG,2024-07-18 00:00:00.000000 UTC,56.2,57.5,56.1,57.2,0.0178,1354351,26655636.09,2024,3,7696550000000.0,4251330000000.0,3222340000000.0,536522000000.0,2184510000000.0,61050888486.0,12.89,0.5524,0.0079,0.16649999999999998,0.22329999999999997,1271.15,1274.67,1256.21,1274.44,739044489,0.0046,Trung lập,0,51,1,0,0
CMG,2024-07-15 00:00:00.000000 UTC,63.8,64.5,61.5,62.1,-0.0266,1590329,37165975.44,2024,3,7696550000000.0,4251330000000.0,3222340000000.0,536522000000.0,2184510000000.0,61050888486.0,12.89,0.5524,0.0079,0.16649999999999998,0.22329999999999997,1281.0,1286.37,1276.27,1279.82,573511101,-0.0007000000000000001,Trung lập,0,54,0,1,0
CMG,2024-07-08 00:00:00.000000 UTC,64.8,65.4,63.5,63.8,-0.0062,1001742,41311299.27,2024,3,7696550000000.0,4251330000000.0,3222340000000.0,536522000000.0,2184510000000.0,61050888486.0,12.89,0.5524,0.0079,0.16649999999999998,0.22329999999999997,1285.79,1287.14,1277.68,1283.56,766898184,0.0004,Trung lập,0,54,1,0,0
