ticker,date,Positive_cnt,Negative_cnt,Neutral_cnt
FPT,2/27/2024,1,0,0
FPT,2/29/2024,3,1,0
FPT,3/1/2024,1,0,0
FPT,3/2/2024,2,0,0
ELC,3/4/2024,1,0,0
CMG,3/7/2024,1,0,0
FPT,3/7/2024,2,0,0
FPT,3/8/2024,0,1,0
FPT,3/12/2024,1,0,0
FPT,3/13/2024,1,0,0
FPT,3/14/2024,7,1,0
FPT,3/15/2024,2,0,0
FPT,3/22/2024,2,0,0
FPT,3/23/2024,2,0,0
FPT,3/25/2024,1,0,0
FPT,3/26/2024,0,0,1
FPT,3/27/2024,1,0,0
ELC,3/28/2024,0,0,1
FPT,3/28/2024,2,0,1
FPT,3/29/2024,1,0,0
ELC,4/2/2024,0,1,0
ELC,4/3/2024,0,1,0
FPT,4/3/2024,1,0,0
FPT,4/4/2024,1,0,0
FPT,4/7/2024,1,0,0
CMG,4/8/2024,2,0,0
FPT,4/8/2024,2,0,0
FPT,4/10/2024,2,0,1
ELC,4/11/2024,1,0,0
FPT,4/11/2024,3,0,0
FPT,4/14/2024,1,0,1
FPT,4/15/2024,1,0,1
ELC,4/16/2024,0,0,1
FPT,4/19/2024,1,0,0
FPT,4/22/2024,3,0,0
FPT,4/23/2024,3,0,1
FPT,4/24/2024,3,0,2
ITD,4/25/2024,0,1,0
FPT,4/25/2024,1,0,0
FPT,4/26/2024,1,0,0
FPT,5/1/2024,1,0,0
FPT,5/2/2024,2,0,0
CMG,5/8/2024,1,0,0
CMG,5/9/2024,1,0,0
FPT,5/9/2024,1,0,0
CMG,5/10/2024,1,0,0
FPT,5/11/2024,0,0,1
FPT,5/13/2024,1,0,0
CMG,5/14/2024,1,0,0
ELC,5/14/2024,1,0,0
FPT,5/15/2024,1,0,0
CMG,5/16/2024,1,0,0
FPT,5/16/2024,1,0,1
FPT,5/17/2024,1,1,0
FPT,5/20/2024,5,0,0
FPT,5/21/2024,4,0,1
FPT,5/22/2024,3,0,0
FPT,5/23/2024,1,0,0
FPT,5/24/2024,0,1,1
FPT,5/25/2024,1,0,0
FPT,5/27/2024,0,1,0
FPT,5/28/2024,2,0,0
FPT,5/29/2024,3,0,0
FPT,5/30/2024,1,0,0
FPT,6/3/2024,2,0,0
CMG,6/4/2024,2,0,0
FPT,6/4/2024,4,0,0
CMG,6/5/2024,0,1,0
FPT,6/5/2024,2,0,0
CMG,6/6/2024,1,1,0
FPT,6/6/2024,0,0,1
FPT,6/10/2024,2,0,0
ELC,6/10/2024,0,0,1
FPT,6/11/2024,4,0,0
CMG,6/12/2024,1,0,0
ITD,6/12/2024,1,0,0
FPT,6/12/2024,2,0,0
FPT,6/13/2024,1,0,0
FPT,6/14/2024,3,0,0
FPT,6/15/2024,0,1,0
CMG,6/17/2024,1,0,0
FPT,6/17/2024,2,0,0
CMG,6/18/2024,1,0,0
FPT,6/18/2024,8,2,0
FPT,6/19/2024,2,0,0
FPT,6/20/2024,1,0,0
FPT,6/21/2024,0,1,0
FPT,6/23/2024,2,0,0
FPT,6/24/2024,1,0,0
FPT,6/25/2024,0,1,0
FPT,6/27/2024,2,0,0
ITD,6/28/2024,1,0,0
FPT,6/28/2024,1,0,1
FPT,7/2/2024,1,0,0
FPT,7/4/2024,0,1,0
CMG,7/4/2024,1,0,0
FPT,7/5/2024,1,0,0
CMG,7/5/2024,3,0,0
FPT,7/7/2024,2,0,0
CMG,7/8/2024,1,0,0
FPT,7/8/2024,1,0,0
FPT,7/9/2024,1,0,0
FPT,7/10/2024,1,0,0
FPT,7/11/2024,0,0,1
CMG,7/13/2024,0,0,1
CMG,7/15/2024,0,1,0
FPT,7/16/2024,0,0,1
CMG,7/18/2024,1,0,0
FPT,7/18/2024,3,0,0
FPT,7/19/2024,3,1,0
FPT,7/20/2024,2,0,0
CMG,7/25/2024,2,0,1
CMG,7/27/2024,1,0,0
FPT,7/27/2024,1,0,0
FPT,7/29/2024,4,0,0
FPT,7/31/2024,2,0,0
FPT,8/2/2024,1,0,0
FPT,8/5/2024,1,0,0
CMG,8/6/2024,0,1,0
FPT,8/8/2024,3,0,0
FPT,8/9/2024,1,0,0
FPT,8/11/2024,1,0,0
FPT,8/12/2024,1,0,0
FPT,8/13/2024,1,0,0
FPT,8/14/2024,1,0,0
FPT,8/15/2024,2,0,0
FPT,8/16/2024,2,0,1
FPT,8/18/2024,3,0,0
FPT,8/19/2024,1,0,0
FPT,8/20/2024,1,0,0
FPT,8/21/2024,3,0,0
CMG,8/22/2024,1,0,0
FPT,8/22/2024,1,0,0
FPT,8/25/2024,4,0,0
FPT,8/26/2024,3,0,0
FPT,8/27/2024,5,0,0
FPT,8/28/2024,2,0,0
FPT,8/29/2024,1,0,0
FPT,8/31/2024,1,0,0
FPT,9/4/2024,0,1,0
FPT,9/5/2024,1,0,1
FPT,9/6/2024,0,0,1
FPT,9/7/2024,1,0,0
FPT,9/9/2024,3,0,0
FPT,9/10/2024,1,0,0
CMG,9/12/2024,0,1,0
FPT,9/15/2024,2,0,0
CMG,9/17/2024,0,0,1
FPT,9/17/2024,4,0,1
FPT,9/18/2024,1,0,0
FPT,9/19/2024,2,0,1
FPT,9/20/2024,2,0,0
FPT,9/21/2024,1,0,0
ELC,9/24/2024,1,0,0
FPT,9/24/2024,0,1,1
FPT,9/25/2024,5,0,0
FPT,9/26/2024,4,0,0
FPT,9/27/2024,2,0,0
CMG,9/27/2024,1,0,1
FPT,9/28/2024,1,0,0
FPT,9/30/2024,0,1,0
FPT,10/4/2024,2,0,0
FPT,10/5/2024,1,0,0
FPT,10/6/2024,2,0,0
FPT,10/8/2024,1,0,0
FPT,10/9/2024,1,0,0
FPT,10/10/2024,2,0,1
FPT,10/12/2024,3,0,1
FPT,10/13/2024,2,0,0
FPT,10/15/2024,2,0,0
FPT,10/16/2024,2,0,0
FPT,10/17/2024,1,0,0
FPT,10/18/2024,5,0,0
FPT,10/20/2024,1,0,0
FPT,10/22/2024,3,0,0
FPT,10/24/2024,1,0,0
FPT,10/25/2024,2,0,0
FPT,10/27/2024,2,0,2
CMG,10/28/2024,1,0,0
FPT,10/28/2024,0,0,1
FPT,10/29/2024,2,1,2
FPT,10/30/2024,2,0,0
FPT,10/31/2024,7,0,1
FPT,11/1/2024,2,0,0
FPT,11/2/2024,0,1,0
