date,year,quarter,sentimentlevel_id,sentiment_score
11/17/2022,2022,4,-2,21
11/18/2022,2022,4,-2,16
11/21/2022,2022,4,-1,33
11/22/2022,2022,4,-2,27
11/23/2022,2022,4,-2,29
11/24/2022,2022,4,-2,25
11/25/2022,2022,4,-2,26
11/28/2022,2022,4,-2,28
11/29/2022,2022,4,-1,31
11/30/2022,2022,4,-1,35
12/1/2022,2022,4,-1,36
12/2/2022,2022,4,-1,37
12/5/2022,2022,4,-1,37
12/6/2022,2022,4,-1,35
12/7/2022,2022,4,0,49
12/8/2022,2022,4,-1,39
12/9/2022,2022,4,-1,33
12/12/2022,2022,4,-1,43
12/13/2022,2022,4,-1,44
12/14/2022,2022,4,0,48
12/15/2022,2022,4,-1,41
12/16/2022,2022,4,0,50
12/19/2022,2022,4,0,47
12/20/2022,2022,4,0,48
12/21/2022,2022,4,0,47
12/22/2022,2022,4,0,45
12/23/2022,2022,4,-1,44
12/26/2022,2022,4,0,48
12/27/2022,2022,4,0,47
12/28/2022,2022,4,0,47
12/29/2022,2022,4,-1,40
12/30/2022,2022,4,0,50
1/2/2023,2023,1,0,50
1/3/2023,2023,1,0,46
1/4/2023,2023,1,0,50
1/6/2023,2023,1,1,58
1/9/2023,2023,1,0,51
1/10/2023,2023,1,0,54
1/11/2023,2023,1,0,51
1/12/2023,2023,1,0,52
1/13/2023,2023,1,0,52
1/16/2023,2023,1,0,55
1/17/2023,2023,1,0,55
1/18/2023,2023,1,0,55
1/19/2023,2023,1,0,55
1/20/2023,2023,1,1,59
1/23/2023,2023,1,1,57
1/24/2023,2023,1,1,57
2/1/2023,2023,1,1,57
2/2/2023,2023,1,0,54
2/3/2023,2023,1,1,56
2/6/2023,2023,1,0,47
2/7/2023,2023,1,0,51
2/8/2023,2023,1,0,49
2/9/2023,2023,1,0,52
2/10/2023,2023,1,0,46
2/13/2023,2023,1,0,50
2/14/2023,2023,1,0,47
2/15/2023,2023,1,0,46
2/16/2023,2023,1,0,45
2/17/2023,2023,1,0,45
2/20/2023,2023,1,0,49
2/21/2023,2023,1,0,51
2/22/2023,2023,1,0,48
2/23/2023,2023,1,1,58
2/24/2023,2023,1,0,50
2/27/2023,2023,1,0,45
2/28/2023,2023,1,0,49
3/1/2023,2023,1,-1,44
3/2/2023,2023,1,-1,44
3/3/2023,2023,1,-1,43
3/6/2023,2023,1,0,47
3/7/2023,2023,1,-1,41
3/8/2023,2023,1,-1,38
3/9/2023,2023,1,-1,42
3/10/2023,2023,1,-1,44
3/13/2023,2023,1,-1,43
3/14/2023,2023,1,0,45
3/15/2023,2023,1,-1,42
3/16/2023,2023,1,-1,41
3/17/2023,2023,1,-1,37
3/20/2023,2023,1,-1,44
3/21/2023,2023,1,-1,35
3/22/2023,2023,1,-1,38
3/23/2023,2023,1,-1,32
3/24/2023,2023,1,-1,37
3/27/2023,2023,1,-1,37
3/28/2023,2023,1,-1,38
3/29/2023,2023,1,-1,38
3/30/2023,2023,1,-1,40
3/31/2023,2023,1,-1,41
4/3/2023,2023,2,-1,42
4/4/2023,2023,2,-1,44
4/5/2023,2023,2,0,45
4/6/2023,2023,2,0,50
4/7/2023,2023,2,0,48
4/10/2023,2023,2,0,48
4/11/2023,2023,2,0,47
4/12/2023,2023,2,0,47
4/13/2023,2023,2,0,47
4/14/2023,2023,2,0,49
4/17/2023,2023,2,0,49
4/18/2023,2023,2,0,49
4/19/2023,2023,2,0,48
4/20/2023,2023,2,0,50
4/21/2023,2023,2,0,50
4/24/2023,2023,2,0,49
4/25/2023,2023,2,0,50
4/26/2023,2023,2,0,49
4/27/2023,2023,2,0,50
4/28/2023,2023,2,0,47
5/1/2023,2023,2,0,49
5/2/2023,2023,2,0,47
5/3/2023,2023,2,0,50
5/9/2023,2023,2,0,48
5/10/2023,2023,2,0,47
5/11/2023,2023,2,0,49
5/12/2023,2023,2,0,47
5/15/2023,2023,2,0,50
5/16/2023,2023,2,0,49
5/17/2023,2023,2,0,51
5/18/2023,2023,2,0,50
5/19/2023,2023,2,0,49
5/22/2023,2023,2,0,47
5/23/2023,2023,2,0,49
5/24/2023,2023,2,0,47
5/25/2023,2023,2,0,49
5/26/2023,2023,2,0,47
5/29/2023,2023,2,0,45
5/30/2023,2023,2,0,45
5/31/2023,2023,2,-1,44
6/1/2023,2023,2,0,47
6/2/2023,2023,2,0,47
6/5/2023,2023,2,0,46
6/6/2023,2023,2,0,48
6/7/2023,2023,2,0,49
6/8/2023,2023,2,0,54
6/9/2023,2023,2,0,54
6/12/2023,2023,2,0,54
6/13/2023,2023,2,0,52
6/14/2023,2023,2,0,55
6/15/2023,2023,2,1,59
6/16/2023,2023,2,1,60
6/19/2023,2023,2,1,59
6/20/2023,2023,2,1,59
6/21/2023,2023,2,1,58
6/22/2023,2023,2,1,58
6/23/2023,2023,2,1,59
6/26/2023,2023,2,1,64
6/27/2023,2023,2,1,65
6/28/2023,2023,2,1,66
6/29/2023,2023,2,1,67
6/30/2023,2023,2,1,67
7/3/2023,2023,3,1,69
7/4/2023,2023,3,1,63
7/5/2023,2023,3,1,64
7/6/2023,2023,3,1,64
7/7/2023,2023,3,1,67
7/10/2023,2023,3,1,66
7/11/2023,2023,3,1,63
7/12/2023,2023,3,1,65
7/13/2023,2023,3,1,68
7/14/2023,2023,3,1,69
7/17/2023,2023,3,2,70
7/18/2023,2023,3,2,74
7/19/2023,2023,3,2,73
7/20/2023,2023,3,2,73
7/21/2023,2023,3,2,72
7/24/2023,2023,3,2,71
7/25/2023,2023,3,2,70
7/26/2023,2023,3,2,73
7/27/2023,2023,3,2,71
7/28/2023,2023,3,2,71
7/31/2023,2023,3,2,72
8/1/2023,2023,3,2,71
8/2/2023,2023,3,2,74
8/3/2023,2023,3,2,76
8/4/2023,2023,3,2,71
8/7/2023,2023,3,2,74
8/8/2023,2023,3,2,71
8/9/2023,2023,3,2,79
8/10/2023,2023,3,2,79
8/11/2023,2023,3,2,76
8/14/2023,2023,3,2,73
8/15/2023,2023,3,2,70
8/16/2023,2023,3,2,74
8/17/2023,2023,3,2,73
8/18/2023,2023,3,2,73
8/21/2023,2023,3,2,76
8/22/2023,2023,3,2,73
8/23/2023,2023,3,1,60
8/24/2023,2023,3,1,68
8/25/2023,2023,3,1,68
8/28/2023,2023,3,1,65
8/29/2023,2023,3,2,71
8/30/2023,2023,3,1,65
8/31/2023,2023,3,2,70
9/1/2023,2023,3,1,67
9/4/2023,2023,3,1,69
9/5/2023,2023,3,2,70
9/8/2023,2023,3,2,70
9/11/2023,2023,3,2,74
9/12/2023,2023,3,2,71
9/13/2023,2023,3,2,71
9/14/2023,2023,3,1,66
9/15/2023,2023,3,2,73
9/18/2023,2023,3,1,66
9/19/2023,2023,3,1,63
9/20/2023,2023,3,1,66
9/21/2023,2023,3,1,60
9/22/2023,2023,3,1,59
9/25/2023,2023,3,1,64
9/26/2023,2023,3,1,59
9/27/2023,2023,3,0,54
9/28/2023,2023,3,0,50
9/29/2023,2023,3,0,50
10/2/2023,2023,4,0,52
10/3/2023,2023,4,0,50
10/4/2023,2023,4,0,50
10/5/2023,2023,4,0,50
10/6/2023,2023,4,-1,42
10/9/2023,2023,4,0,47
10/10/2023,2023,4,-1,43
10/11/2023,2023,4,0,48
10/12/2023,2023,4,0,48
10/13/2023,2023,4,0,49
10/16/2023,2023,4,0,49
10/17/2023,2023,4,0,48
10/18/2023,2023,4,0,48
10/19/2023,2023,4,0,45
10/20/2023,2023,4,-1,44
10/23/2023,2023,4,-1,42
10/24/2023,2023,4,-1,40
10/25/2023,2023,4,-1,41
10/26/2023,2023,4,-1,36
10/27/2023,2023,4,-1,38
10/30/2023,2023,4,-1,36
10/31/2023,2023,4,-1,34
11/1/2023,2023,4,-2,29
11/2/2023,2023,4,-2,29
11/3/2023,2023,4,-1,31
11/6/2023,2023,4,-1,33
11/7/2023,2023,4,-1,39
11/8/2023,2023,4,-1,33
11/9/2023,2023,4,-1,37
11/10/2023,2023,4,-1,31
11/13/2023,2023,4,-1,40
11/14/2023,2023,4,-1,35
11/15/2023,2023,4,-1,34
11/16/2023,2023,4,-1,36
11/17/2023,2023,4,-1,40
11/20/2023,2023,4,-1,42
11/21/2023,2023,4,-1,39
11/22/2023,2023,4,-1,38
11/23/2023,2023,4,-1,42
11/24/2023,2023,4,-1,44
11/27/2023,2023,4,-1,44
