date,year,quarter,vni_close
1/2/2014,2014,1,504.51
1/3/2014,2014,1,505.37
1/6/2014,2014,1,509.1
1/7/2014,2014,1,510.12
1/8/2014,2014,1,513.9
1/9/2014,2014,1,516.98
1/10/2014,2014,1,518.94
1/13/2014,2014,1,521.11
1/14/2014,2014,1,522.31
1/15/2014,2014,1,526.68
1/16/2014,2014,1,533.54
1/17/2014,2014,1,543.59
1/20/2014,2014,1,553.67
1/21/2014,2014,1,559.91
1/22/2014,2014,1,551.92
1/23/2014,2014,1,553.55
1/24/2014,2014,1,560.19
1/27/2014,2014,1,556.52
2/6/2014,2014,1,554.68
2/7/2014,2014,1,549.76
2/10/2014,2014,1,555.9
2/11/2014,2014,1,553.9
2/12/2014,2014,1,564.25
2/13/2014,2014,1,570.18
2/14/2014,2014,1,572.22
2/17/2014,2014,1,570.2
2/18/2014,2014,1,574.56
2/19/2014,2014,1,578.12
2/20/2014,2014,1,571.04
2/21/2014,2014,1,570.57
2/24/2014,2014,1,576.58
2/25/2014,2014,1,586.2
2/26/2014,2014,1,589.81
2/27/2014,2014,1,584.79
2/28/2014,2014,1,586.48
3/3/2014,2014,1,573.38
3/4/2014,2014,1,569.97
3/5/2014,2014,1,574.94
3/6/2014,2014,1,578.56
3/7/2014,2014,1,579.75
3/10/2014,2014,1,583.69
3/11/2014,2014,1,588.5
3/12/2014,2014,1,590.02
3/13/2014,2014,1,595.22
3/14/2014,2014,1,596.83
3/17/2014,2014,1,600.36
3/18/2014,2014,1,599.85
3/19/2014,2014,1,605.59
3/20/2014,2014,1,600.26
3/21/2014,2014,1,601.75
3/24/2014,2014,1,607.55
3/25/2014,2014,1,601.85
3/26/2014,2014,1,588.06
3/27/2014,2014,1,590.14
3/28/2014,2014,1,594.29
3/31/2014,2014,1,591.57
4/1/2014,2014,2,583.85
4/2/2014,2014,2,581.67
4/3/2014,2014,2,589.44
4/4/2014,2014,2,593.04
4/7/2014,2014,2,600.57
4/8/2014,2014,2,603.25
4/10/2014,2014,2,601.33
4/11/2014,2014,2,600.57
4/14/2014,2014,2,596.11
4/15/2014,2014,2,586.09
4/16/2014,2014,2,574.29
4/17/2014,2014,2,580.31
4/18/2014,2014,2,565.33
4/21/2014,2014,2,558.14
4/22/2014,2014,2,569.87
4/23/2014,2014,2,569.36
4/24/2014,2014,2,570.46
4/25/2014,2014,2,578.92
4/28/2014,2014,2,573.1
4/29/2014,2014,2,578
5/5/2014,2014,2,564.85
5/6/2014,2014,2,555.11
5/7/2014,2014,2,559.97
5/8/2014,2014,2,527.09
5/9/2014,2014,2,542.46
5/12/2014,2014,2,517.05
5/13/2014,2014,2,513.91
5/14/2014,2014,2,529.53
5/15/2014,2014,2,524.05
5/16/2014,2014,2,529.49
5/19/2014,2014,2,533.04
5/20/2014,2014,2,537.52
5/21/2014,2014,2,543.88
5/22/2014,2014,2,541.73
5/23/2014,2014,2,541.49
5/26/2014,2014,2,544.06
5/27/2014,2014,2,552.75
5/28/2014,2014,2,557.34
5/29/2014,2014,2,558.45
5/30/2014,2014,2,562.02
6/2/2014,2014,2,556.8
